x y depth yinc xinc strike dip rake slip Sample
96.2970 19.2678 6.4952 5 5 353 60 174 1.4562 2
96.3210 19.2705 10.8253 5 5 353 60 174 1.2805 2
96.3449 19.2733 15.1554 5 5 353 60 173 1.0824 2
96.3689 19.2760 19.4856 5 5 353 60 171 0.9039 2
96.3928 19.2787 23.8157 5 5 353 60 166 0.7570 2
96.4168 19.2814 28.1458 5 5 353 60 162 0.6083 2
96.4408 19.2841 32.4760 5 5 353 60 160 0.3723 2
96.2673 19.3097 2.1651 5 5 353 60 175 1.5267 2
96.2913 19.3124 6.4952 5 5 353 60 175 1.4537 2
96.3152 19.3152 10.8253 5 5 353 60 176 1.3119 2
96.3392 19.3179 15.1554 5 5 353 60 177 1.1335 2
96.3631 19.3206 19.4856 5 5 353 60 177 0.9523 2
96.3871 19.3233 23.8157 5 5 353 60 174 0.7617 2
96.4111 19.3261 28.1458 5 5 353 60 170 0.5683 2
96.4350 19.3288 32.4760 5 5 353 60 168 0.3304 2
96.2616 19.3543 2.1651 5 5 353 60 172 1.5450 2
96.2855 19.3571 6.4952 5 5 353 60 173 1.4919 2
96.3095 19.3598 10.8253 5 5 353 60 176 1.3657 2
96.3335 19.3625 15.1554 5 5 353 60 -179 1.2013 2
96.3574 19.3653 19.4856 5 5 353 60 -178 1.0173 2
96.3814 19.3680 23.8157 5 5 353 60 180 0.8006 2
96.4053 19.3707 28.1458 5 5 353 60 175 0.5680 2
96.4293 19.3734 32.4760 5 5 353 60 172 0.3110 2
96.2558 19.3990 2.1651 5 5 353 60 170 1.6323 2
96.2798 19.4017 6.4952 5 5 353 60 172 1.5730 2
96.3038 19.4044 10.8253 5 5 353 60 177 1.4480 2
96.3277 19.4072 15.1554 5 5 353 60 -178 1.2935 2
96.3517 19.4099 19.4856 5 5 353 60 -177 1.1145 2
96.3756 19.4126 23.8157 5 5 353 60 -179 0.8947 2
96.3996 19.4153 28.1458 5 5 353 60 176 0.6415 2
96.4236 19.4181 32.4760 5 5 353 60 173 0.3471 2
96.2501 19.4436 2.1651 5 5 353 60 170 1.7322 2
96.2741 19.4464 6.4952 5 5 353 60 172 1.6672 2
96.2980 19.4491 10.8253 5 5 353 60 176 1.5434 2
96.3220 19.4518 15.1554 5 5 353 60 180 1.3966 2
96.3459 19.4545 19.4856 5 5 353 60 -180 1.2283 2
96.3699 19.4573 23.8157 5 5 353 60 178 1.0085 2
96.3939 19.4600 28.1458 5 5 353 60 175 0.7338 2
96.4178 19.4627 32.4760 5 5 353 60 173 0.3941 2
96.2444 19.4883 2.1651 5 5 353 60 172 1.7966 2
96.2683 19.4910 6.4952 5 5 353 60 173 1.7441 2
96.2923 19.4937 10.8253 5 5 353 60 175 1.6290 2
96.3162 19.4965 15.1554 5 5 353 60 177 1.4917 2
96.3402 19.4992 19.4856 5 5 353 60 177 1.3280 2
96.3642 19.5019 23.8157 5 5 353 60 176 1.1036 2
96.3881 19.5046 28.1458 5 5 353 60 174 0.8063 2
96.4121 19.5073 32.4760 5 5 353 60 173 0.4292 2
96.2386 19.5329 2.1651 5 5 353 60 175 1.7922 2
96.2626 19.5356 6.4952 5 5 353 60 175 1.7402 2
96.2865 19.5384 10.8253 5 5 353 60 176 1.6403 2
96.3105 19.5411 15.1554 5 5 353 60 176 1.5221 2
96.3344 19.5438 19.4856 5 5 353 60 175 1.3762 2
96.3584 19.5465 23.8157 5 5 353 60 175 1.1628 2
96.3824 19.5493 28.1458 5 5 353 60 174 0.8698 2
96.4063 19.5520 32.4760 5 5 353 60 174 0.4770 2
96.2329 19.5775 2.1651 5 5 353 60 178 1.7511 2
96.2568 19.5803 6.4952 5 5 353 60 177 1.6962 2
96.2808 19.5830 10.8253 5 5 353 60 178 1.6097 2
96.3047 19.5857 15.1554 5 5 353 60 177 1.5052 2
96.3287 19.5885 19.4856 5 5 353 60 176 1.3845 2
96.3527 19.5912 23.8157 5 5 353 60 175 1.2042 2
96.3766 19.5939 28.1458 5 5 353 60 176 0.9399 2
96.4006 19.5966 32.4760 5 5 353 60 177 0.5418 2
96.2271 19.6222 2.1651 5 5 353 60 -180 1.7553 2
96.2511 19.6249 6.4952 5 5 353 60 180 1.6770 2
96.2750 19.6276 10.8253 5 5 353 60 -180 1.5810 2
96.2990 19.6304 15.1554 5 5 353 60 180 1.4743 2
96.3229 19.6331 19.4856 5 5 353 60 177 1.3819 2
96.3469 19.6358 23.8157 5 5 353 60 177 1.2415 2
96.3709 19.6385 28.1458 5 5 353 60 179 1.0047 2
96.3948 19.6413 32.4760 5 5 353 60 -179 0.5994 2
96.2214 19.6668 2.1651 5 5 353 60 -176 1.9039 2
96.2453 19.6695 6.4952 5 5 353 60 -177 1.7554 2
96.2693 19.6723 10.8253 5 5 353 60 -176 1.5881 2
96.2932 19.6750 15.1554 5 5 353 60 -178 1.4541 2
96.3172 19.6777 19.4856 5 5 353 60 179 1.3718 2
96.3411 19.6805 23.8157 5 5 353 60 178 1.2526 2
96.3651 19.6832 28.1458 5 5 353 60 180 1.0306 2
96.3891 19.6859 32.4760 5 5 353 60 -178 0.6285 2
96.2156 19.7114 2.1651 5 5 353 60 -172 2.2564 2
96.2396 19.7142 6.4952 5 5 353 60 -173 1.9817 2
96.2635 19.7169 10.8253 5 5 353 60 -174 1.6478 2
96.2875 19.7196 15.1554 5 5 353 60 -176 1.4338 2
96.3114 19.7224 19.4856 5 5 353 60 -179 1.3442 2
96.3354 19.7251 23.8157 5 5 353 60 179 1.2289 2
96.3593 19.7278 28.1458 5 5 353 60 180 1.0162 2
96.3833 19.7305 32.4760 5 5 353 60 -179 0.6255 2
96.2098 19.7561 2.1651 5 5 353 60 -171 2.6481 2
96.2338 19.7588 6.4952 5 5 353 60 -173 2.2583 2
96.2577 19.7616 10.8253 5 5 353 60 -174 1.7389 2
96.2817 19.7643 15.1554 5 5 353 60 -177 1.4042 2
96.3057 19.7670 19.4856 5 5 353 60 179 1.2689 2
96.3296 19.7697 23.8157 5 5 353 60 178 1.1501 2
96.3536 19.7725 28.1458 5 5 353 60 177 0.9534 2
96.3775 19.7752 32.4760 5 5 353 60 177 0.5941 2
96.2041 19.8007 2.1651 5 5 353 60 -175 2.9238 2
96.2280 19.8035 6.4952 5 5 353 60 -176 2.4855 2
96.2520 19.8062 10.8253 5 5 353 60 -179 1.8302 2
96.2759 19.8089 15.1554 5 5 353 60 178 1.3865 2
96.2999 19.8116 19.4856 5 5 353 60 174 1.1881 2
96.3239 19.8144 23.8157 5 5 353 60 172 1.0541 2
96.3478 19.8171 28.1458 5 5 353 60 171 0.8787 2
96.3718 19.8198 32.4760 5 5 353 60 170 0.5521 2
96.1983 19.8454 2.1651 5 5 353 60 179 3.1501 2
96.2223 19.8481 6.4952 5 5 353 60 177 2.6844 2
96.2462 19.8508 10.8253 5 5 353 60 174 1.9375 2
96.2702 19.8536 15.1554 5 5 353 60 169 1.4014 2
96.2941 19.8563 19.4856 5 5 353 60 165 1.1378 2
96.3181 19.8590 23.8157 5 5 353 60 164 0.9765 2
96.3420 19.8617 28.1458 5 5 353 60 163 0.8082 2
96.3660 19.8644 32.4760 5 5 353 60 161 0.5102 2
96.1925 19.8900 2.1651 5 5 353 60 175 3.0648 2
96.2165 19.8927 6.4952 5 5 353 60 173 2.6673 2
96.2404 19.8955 10.8253 5 5 353 60 168 1.9459 2
96.2644 19.8982 15.1554 5 5 353 60 162 1.3955 2
96.2884 19.9009 19.4856 5 5 353 60 158 1.1019 2
96.3123 19.9036 23.8157 5 5 353 60 156 0.9188 2
96.3363 19.9064 28.1458 5 5 353 60 156 0.7401 2
96.3602 19.9091 32.4760 5 5 353 60 155 0.4558 2
96.1868 19.9346 2.1651 5 5 353 60 174 2.8066 2
96.2107 19.9374 6.4952 5 5 353 60 172 2.4464 2
96.2347 19.9401 10.8253 5 5 353 60 166 1.8009 2
96.2586 19.9428 15.1554 5 5 353 60 159 1.3038 2
96.2826 19.9456 19.4856 5 5 353 60 154 1.0348 2
96.3065 19.9483 23.8157 5 5 353 60 153 0.8599 2
96.3305 19.9510 28.1458 5 5 353 60 153 0.6799 2
96.3545 19.9537 32.4760 5 5 353 60 153 0.4105 2
96.1810 19.9793 2.1651 5 5 353 60 174 2.4524 2
96.2049 19.9820 6.4952 5 5 353 60 172 2.1194 2
96.2289 19.9847 10.8253 5 5 353 60 166 1.5631 2
96.2528 19.9875 15.1554 5 5 353 60 158 1.1358 2
96.2768 19.9902 19.4856 5 5 353 60 154 0.9188 2
96.3008 19.9929 23.8157 5 5 353 60 155 0.7878 2
96.3247 19.9956 28.1458 5 5 353 60 155 0.6316 2
96.3487 19.9984 32.4760 5 5 353 60 156 0.3785 2
96.1752 20.0239 2.1651 5 5 353 60 176 2.1423 2
96.1991 20.0266 6.4952 5 5 353 60 174 1.8326 2
96.2231 20.0294 10.8253 5 5 353 60 168 1.3421 2
96.2471 20.0321 15.1554 5 5 353 60 159 0.9844 2
96.2710 20.0348 19.4856 5 5 353 60 157 0.8120 2
96.2950 20.0376 23.8157 5 5 353 60 160 0.7195 2
96.3189 20.0403 28.1458 5 5 353 60 161 0.5923 2
96.3429 20.0430 32.4760 5 5 353 60 161 0.3500 2
96.1694 20.0685 2.1651 5 5 353 60 179 1.9391 2
